id,nemo,descipcion,agrupacion,tipo_agente,fecha_proceso,lote_id_log
149768,14DEMP3N,14 DE JULIO S.A. - PESQUERA,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
149769,72GAVEIN,72 GAS S.A.- BOUL.72 LA PLATA,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
149770,AAARFOCN,ABRASIVOS ARGENTINOS SA,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
149771,AARGTAOY,AEROP ARG 2000 - Aeroparque,GRANDES USUARIOS,Gran Usuario Mayor (GUMA),2020-05-05 11:08:14.531913,67
149772,ABASTUTN,ABASTO TUCUMANO,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
149773,ABBOBOCN,ABBOTT - PTA. GUTIERREZ,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
149774,ABRAPION,ABRAHAM Y OSCAR CONSEVIK S.A.,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
149775,ABRILHCY,ABRIL CLUB DE CAMPO,GRANDES USUARIOS,Gran Usuario Mayor (GUMA),2020-05-05 11:08:14.531913,67
149776,ACABSCSN,ASOC.COOP.ARG. - SGTO CABRAL,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
149777,ACARQQ3Y,ASOC.COOP.ARG. - Quequén,GRANDES USUARIOS,Gran Usuario Mayor (GUMA),2020-05-05 11:08:14.531913,67
149778,ACARSLSY,ASOC.COOP.ARG. - San Lorenzo,GRANDES USUARIOS,Gran Usuario Mayor (GUMA),2020-05-05 11:08:14.531913,67
149779,ACERAVCN,ACEROS ALFA,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
149780,ACERBR1Y,Planta Bragado,GRANDES USUARIOS,Gran Usuario Mayor (GUMA),2020-05-05 11:08:14.531913,67
149781,ACERLPIN,ACERIAS BERISSO S.A.,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
149782,ACERME1N,ACEROS BORRONI - MERCEDES,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
149783,ACERSJON,ACEROS ANGELETTI SA.-PLANTA II,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
149784,ACINTBOY,ACINDAR PTA. TABLADA,GRANDES USUARIOS,Gran Usuario Mayor (GUMA),2020-05-05 11:08:14.531913,67
149785,ACINVCSZ,ACINDAR PTA. V. CONSTITUCION,GRANDES USUARIOS,Gran Usuario Mayor (GUMA),2020-05-05 11:08:14.531913,67
149786,ACROEZCN,ACROPOLIS CABLES - EZPELETA,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
149787,ACUYLCMY,ACEROS CUYANOS S.A.- L.DE CUYO,GRANDES USUARIOS,Gran Usuario Mayor (GUMA),2020-05-05 11:08:14.531913,67
149788,ADMIPMUN,APPM,GRANDES USUARIOS,Gran Usuario Menor (GUME),2020-05-05 11:08:14.531913,67
