id,anio,mes,maquina,central,agente,agente_descripcion,tipo_maquina,fuente_generacion,tecnologia,combustible,consumo,fecha_proceso,lote_id_log,indice_tiempo
210851,2017,01,ABRODI01,ABRO,CTBROWNG,C.T. ALMIRANTE BROWN,MOTOR DIESEL,Térmica,DI,GAS OIL,30.564,2020-05-05 11:07:07.467556,67,2017-01
210852,2017,01,ACAJTG01,CAPE,CAPEX-QA,CAPEX S.A. AUTOGENERADOR,TURBO GAS,Térmica,CC,GAS NATURAL,11734.436,2020-05-05 11:07:07.467556,67,2017-01
210853,2017,01,ACAJTG02,ACAJ,CAPEXSAG,C.T. AGUA DEL CAJON,TURBO GAS,Térmica,CC,GAS NATURAL,12363.875,2020-05-05 11:07:07.467556,67,2017-01
210854,2017,01,ACAJTG03,ACAJ,CAPEXSAG,C.T. AGUA DEL CAJON,TURBO GAS,Térmica,CC,GAS NATURAL,12411.323,2020-05-05 11:07:07.467556,67,2017-01
210855,2017,01,ACAJTG05,ACAJ,CAPEXSAG,C.T. AGUA DEL CAJON,TURBO GAS,Térmica,CC,GAS NATURAL,12482.911,2020-05-05 11:07:07.467556,67,2017-01
210856,2017,01,ACAJTG06,CAPE,CAPEX-QA,CAPEX S.A. AUTOGENERADOR,TURBO GAS,Térmica,CC,GAS NATURAL,35083.167,2020-05-05 11:07:07.467556,67,2017-01
210857,2017,01,AESPTG01,AESP,CTAESPAG,C.T. AES PARANA,TURBO GAS,Térmica,CC,GAS NATURAL,49646.164,2020-05-05 11:07:07.467556,67,2017-01
210858,2017,01,AESPTG02,AESP,CTAESPAG,C.T. AES PARANA,TURBO GAS,Térmica,CC,GAS NATURAL,49763.863,2020-05-05 11:07:07.467556,67,2017-01
210859,2017,01,ALEMDI01,ALEM,CTALEMAG,CT ALEM - AGGREKO,MOTOR DIESEL,Térmica,DI,GAS OIL,1750.29,2020-05-05 11:07:07.467556,67,2017-01
210860,2017,01,ALOMDI01,ALOM,YPFLOMQA,CENTRAL TÉRMICA LOMITA AUTOG.,MOTOR DIESEL,Térmica,DI,GAS NATURAL,2686.402,2020-05-05 11:07:07.467556,67,2017-01
210861,2017,01,ALUMDI01,ALUM,CTALUMSG,CT ALUMINÉ - SECCO,MOTOR DIESEL,Térmica,DI,GAS OIL,65.928,2020-05-05 11:07:07.467556,67,2017-01
210862,2017,01,ANATDI01,ANAT,CTANATSG,CT AÑATUYA - SULLAIR,MOTOR DIESEL,Térmica,DI,GAS OIL,673.699,2020-05-05 11:07:07.467556,67,2017-01
210863,2017,01,ANATDI02,ANAT,CTANA2SG,CT AÑATUYA II - SULLAIR,MOTOR DIESEL,Térmica,DI,GAS OIL,231,2020-05-05 11:07:07.467556,67,2017-01
210864,2017,01,APARTV01,APAR,SIDESN1A,SIDERAR PTA. IND. SAN NICOLAS,TURBO VAPOR,Térmica,TV,GAS NATURAL,194.78,2020-05-05 11:07:07.467556,67,2017-01
210865,2017,01,ARGETG01,ARGE,SIDERCAC,SIDERCA SA(EX ARGENER-GEN.PAR),TURBO GAS,Térmica,TG,GAS NATURAL,24599.913,2020-05-05 11:07:07.467556,67,2017-01
210866,2017,01,ARISDI01,ARIS,CTARIVSG,CT ARISTOBU.DEL VALLE-SOENERGY,MOTOR DIESEL,Térmica,DI,GAS OIL,798.897,2020-05-05 11:07:07.467556,67,2017-01
210867,2017,01,ARMATG01,ARMA,CTLARMAG,CT LAS ARMAS - EMGASUD,TURBO GAS,Térmica,TG,GAS NATURAL,463.111,2020-05-05 11:07:07.467556,67,2017-01
210868,2017,01,ARMATG02,ARMA,CTLARMAG,CT LAS ARMAS - EMGASUD,TURBO GAS,Térmica,TG,GAS NATURAL,434.676,2020-05-05 11:07:07.467556,67,2017-01
210869,2017,01,ARMATG03,ARMA,CTLARM2G,CT LAS ARMAS II - EMGASUD,TURBO GAS,Térmica,TG,GAS NATURAL,3218.483,2020-05-05 11:07:07.467556,67,2017-01
