id,mes,central,agente,descripcion,tecnologia_descripcion,tecnologia,factor_disp_tec_porcentaje,fecha_proceso,lote_id_log,indice_tiempo
121855,01,ABRO,CTBROWNG,C.T. ALMIRANTE BROWN,Motor Diesel,DI,1.0,2020-05-05 11:07:57.624983,67,2017-01
121856,01,ACAJ,CAPEXSAG,C.T. AGUA DEL CAJON,Ciclos Combinados,CC,0.7007816065356705,2020-05-05 11:07:57.624983,67,2017-01
121857,01,AESP,CTAESPAG,C.T. AES PARANA,Ciclos Combinados,CC,0.9769171906286268,2020-05-05 11:07:57.624983,67,2017-01
121858,01,ALEM,CTALEMAG,CT ALEM - AGGREKO,Motor Diesel,DI,1.0,2020-05-05 11:07:57.624983,67,2017-01
121859,01,ALUM,CTALUMSG,CT ALUMINÉ - SECCO,Motor Diesel,DI,1.0,2020-05-05 11:07:57.624983,67,2017-01
121860,01,ANAT,CTANA2SG,CT AÑATUYA II - SULLAIR,Motor Diesel,DI,0.9219152854511972,2020-05-05 11:07:57.624983,67,2017-01
121861,01,ANAT,CTANATSG,CT AÑATUYA - SULLAIR,Motor Diesel,DI,1.0,2020-05-05 11:07:57.624983,67,2017-01
121862,01,ARGE,SIDERCAC,SIDERCA SA(EX ARGENER-GEN.PAR),Turbina a gas,TG,1.0,2020-05-05 11:07:57.624983,67,2017-01
121863,01,ARIS,CTARIVSG,CT ARISTOBU.DEL VALLE-SOENERGY,Motor Diesel,DI,1.0,2020-05-05 11:07:57.624983,67,2017-01
121864,01,ARMA,CTLARM2G,CT LAS ARMAS II - EMGASUD,Turbina a gas,TG,1.0,2020-05-05 11:07:57.624983,67,2017-01
121865,01,ARMA,CTLARMAG,CT LAS ARMAS - EMGASUD,Turbina a gas,TG,1.0,2020-05-05 11:07:57.624983,67,2017-01
121866,01,ARRE,CTARREAG,CT ARRECIFES-AGGREKO,Motor Diesel,DI,1.0,2020-05-05 11:07:57.624983,67,2017-01
121867,01,AVAL,CTALVALG,C.TERMICA ALTO VALLE,Ciclos Combinados,CC,0.9174710682096954,2020-05-05 11:07:57.624983,67,2017-01
121868,01,AVAL,CTALVALG,C.TERMICA ALTO VALLE,Turbina a gas,TG,1.0,2020-05-05 11:07:57.624983,67,2017-01
121869,01,BARI,CTBARISG,CT BARILOCHE,Motor Diesel,DI,1.0,2020-05-05 11:07:57.624983,67,2017-01
121870,01,BBLA,CPBUENAG,CENTRAL PIEDRABUENA S.A.,Turbovapor,TV,0.44316749250008425,2020-05-05 11:07:57.624983,67,2017-01
121871,01,BLOP,CTBRILOG,CT BRIGADIER LOPEZ,Turbina a gas,TG,1.0,2020-05-05 11:07:57.624983,67,2017-01
121872,01,BRAG,CTBRAGAG,CT BRAGADO - EMGASUD,Turbina a gas,TG,1.0,2020-05-05 11:07:57.624983,67,2017-01
121873,01,BROW,TGBROWNG,TERMOELECTRICA GUILLERMO BROWN,Turbina a gas,TG,0.9543785072397687,2020-05-05 11:07:57.624983,67,2017-01
121874,01,BSAS,CCOSTANG,ENDESA COSTANERA SA,Ciclos Combinados,CC,0.7559534185226405,2020-05-05 11:07:57.624983,67,2017-01
121875,01,BVIL,CTBELLSG,CT BELL VILLE - SULLAIR,Motor Diesel,DI,1.0,2020-05-05 11:07:57.624983,67,2017-01
121876,01,CARL,EPECORDG,EPEC GENERACION,Motor Diesel,DI,0.9337068160597571,2020-05-05 11:07:57.624983,67,2017-01
121877,01,CAST,CTCASTAG,CT CASTELLI - AGGREKO,Motor Diesel,DI,0.9761194029850746,2020-05-05 11:07:57.624983,67,2017-01
121878,01,CATA,EDECATKG,EDECAT GENERACION,Motor Diesel,DI,0.7763110307414105,2020-05-05 11:07:57.624983,67,2017-01
