id,anio,mes,maquina,central,agente,agente_descripcion,region,pais,tipo_maquina,fuente_generacion,tecnologia,categoria_hidraulica,categoria_region,generacion_neta_MWh,fecha_proceso,lote_id_log,indice_tiempo
481607,2017,01,3ARRDI01,3ARR,QUIL3A3A,QUILMES - PLANTA TRES ARROYOS,BUENOS AIRES,Argentina,MOTOR DIESEL,Térmica,DI,,Gba - Litoral - Buenos Aires,0,2020-05-05 11:06:29.851206,67,2017-01
481608,2017,01,ABRODI01,ABRO,CTBROWNG,C.T. ALMIRANTE BROWN,GRAN BS.AS.,Argentina,MOTOR DIESEL,Térmica,DI,,Gba - Litoral - Buenos Aires,109.454,2020-05-05 11:06:29.851206,67,2017-01
481609,2017,01,ACAJTG01,CAPE,CAPEX-QA,CAPEX S.A. AUTOGENERADOR,COMAHUE,Argentina,TURBO GAS,Térmica,CC,,Comahue,26787.822,2020-05-05 11:06:29.851206,67,2017-01
481610,2017,01,ACAJTG02,ACAJ,CAPEXSAG,C.T. AGUA DEL CAJON,COMAHUE,Argentina,TURBO GAS,Térmica,CC,,Comahue,31017.278,2020-05-05 11:06:29.851206,67,2017-01
481611,2017,01,ACAJTG03,ACAJ,CAPEXSAG,C.T. AGUA DEL CAJON,COMAHUE,Argentina,TURBO GAS,Térmica,CC,,Comahue,31919.324,2020-05-05 11:06:29.851206,67,2017-01
481612,2017,01,ACAJTG04,ACAJ,CAPEXSAG,C.T. AGUA DEL CAJON,COMAHUE,Argentina,TURBO GAS,Térmica,CC,,Comahue,0,2020-05-05 11:06:29.851206,67,2017-01
481613,2017,01,ACAJTG05,ACAJ,CAPEXSAG,C.T. AGUA DEL CAJON,COMAHUE,Argentina,TURBO GAS,Térmica,CC,,Comahue,32119.929,2020-05-05 11:06:29.851206,67,2017-01
481614,2017,01,ACAJTG06,CAPE,CAPEX-QA,CAPEX S.A. AUTOGENERADOR,COMAHUE,Argentina,TURBO GAS,Térmica,CC,,Comahue,84377.268,2020-05-05 11:06:29.851206,67,2017-01
481615,2017,01,ACAJTV07,CAPE,CAPEX-QA,CAPEX S.A. AUTOGENERADOR,COMAHUE,Argentina,TURBO VAPOR,Térmica,CC,,Comahue,145191.668,2020-05-05 11:06:29.851206,67,2017-01
481616,2017,01,ADTOHI,ADTOHI,HIDIAMAG,H. DIAMANTE SA,CUYO,Argentina,TURB HIDRAULICA,Hidráulica,HID,Resto Hidráulico,Cuyo,42103.578,2020-05-05 11:06:29.851206,67,2017-01
481617,2017,01,AESPTG01,AESP,CTAESPAG,C.T. AES PARANA,BUENOS AIRES,Argentina,TURBO GAS,Térmica,CC,,Gba - Litoral - Buenos Aires,162021.923,2020-05-05 11:06:29.851206,67,2017-01
481618,2017,01,AESPTG02,AESP,CTAESPAG,C.T. AES PARANA,BUENOS AIRES,Argentina,TURBO GAS,Térmica,CC,,Gba - Litoral - Buenos Aires,159987.408,2020-05-05 11:06:29.851206,67,2017-01
481619,2017,01,AESPTV01,AESP,CTAESPAG,C.T. AES PARANA,BUENOS AIRES,Argentina,TURBO VAPOR,Térmica,CC,,Gba - Litoral - Buenos Aires,196176.737,2020-05-05 11:06:29.851206,67,2017-01
481620,2017,01,ALEMDI01,ALEM,CTALEMAG,CT ALEM - AGGREKO,NORESTE,Argentina,MOTOR DIESEL,Térmica,DI,,Nea,6567.996,2020-05-05 11:06:29.851206,67,2017-01
481621,2017,01,ALICHI,ALICHI,HALICURG,AES ALICURA.,COMAHUE,Argentina,TURB HIDRAULICA,Hidráulica,HID,Alicurá,Comahue,70502.299,2020-05-05 11:06:29.851206,67,2017-01
481622,2017,01,ALOMDI01,ALOM,YPFLOMQA,CENTRAL TÉRMICA LOMITA AUTOG.,COMAHUE,Argentina,MOTOR DIESEL,Térmica,DI,,Comahue,13392.148,2020-05-05 11:06:29.851206,67,2017-01
481623,2017,01,ALUMDI01,ALUM,CTALUMSG,CT ALUMINÉ - SECCO,COMAHUE,Argentina,MOTOR DIESEL,Térmica,DI,,Comahue,249.106,2020-05-05 11:06:29.851206,67,2017-01
481624,2017,01,AMEGHI,AMEGHI,HAMEGHIG,HIDROELECTRICA AMEGHINO SA,PATAGONICA,Argentina,HIDRAULICA <=50,Renovable,HR,Resto Hidráulico,Patagonia,11047.409,2020-05-05 11:06:29.851206,67,2017-01
481625,2017,01,ANATDI01,ANAT,CTANATSG,CT AÑATUYA - SULLAIR,NOROESTE,Argentina,MOTOR DIESEL,Térmica,DI,,Noa,2579.427,2020-05-05 11:06:29.851206,67,2017-01
481626,2017,01,ANATDI02,ANAT,CTANA2SG,CT AÑATUYA II - SULLAIR,NOROESTE,Argentina,MOTOR DIESEL,Térmica,DI,,Noa,876.197,2020-05-05 11:06:29.851206,67,2017-01
481627,2017,01,APARTV01,APAR,SIDESN1A,SIDERAR PTA. IND. SAN NICOLAS,BUENOS AIRES,Argentina,TURBO VAPOR,Térmica,TV,,Gba - Litoral - Buenos Aires,584.311,2020-05-05 11:06:29.851206,67,2017-01
481628,2017,01,ARA2EO,ARA2EO,PEARAU2G,PARQUE EOLICO ARAUCO II SAPEM,NOROESTE,Argentina,EOLICA,Renovable,EOL,,Noa,5471.271,2020-05-05 11:06:29.851206,67,2017-01
481629,2017,01,ARAUEO,ARAUEO,PEARAUCG,PARQUE EOLICO ARAUCO SAPEM,NOROESTE,Argentina,EOLICA,Renovable,EOL,,Noa,1916.332,2020-05-05 11:06:29.851206,67,2017-01
481630,2017,01,ARGETG01,ARGE,SIDERCAC,SIDERCA SA(EX ARGENER-GEN.PAR),BUENOS AIRES,Argentina,TURBO GAS,Térmica,TG,,Gba - Litoral - Buenos Aires,107211.97,2020-05-05 11:06:29.851206,67,2017-01
481631,2017,01,ARISDI01,ARIS,CTARIVSG,CT ARISTOBU.DEL VALLE-SOENERGY,NORESTE,Argentina,MOTOR DIESEL,Térmica,DI,,Nea,3007.712,2020-05-05 11:06:29.851206,67,2017-01
481632,2017,01,ARMATG01,ARMA,CTLARMAG,CT LAS ARMAS - EMGASUD,BUENOS AIRES,Argentina,TURBO GAS,Térmica,TG,,Gba - Litoral - Buenos Aires,1372.752,2020-05-05 11:06:29.851206,67,2017-01
481633,2017,01,ARMATG02,ARMA,CTLARMAG,CT LAS ARMAS - EMGASUD,BUENOS AIRES,Argentina,TURBO GAS,Térmica,TG,,Gba - Litoral - Buenos Aires,1373.601,2020-05-05 11:06:29.851206,67,2017-01
481634,2017,01,ARMATG03,ARMA,CTLARM2G,CT LAS ARMAS II - EMGASUD,BUENOS AIRES,Argentina,TURBO GAS,Térmica,TG,,Gba - Litoral - Buenos Aires,10816.637,2020-05-05 11:06:29.851206,67,2017-01
481635,2017,01,ARREDI01,ARRE,CTARREAG,CT ARRECIFES-AGGREKO,BUENOS AIRES,Argentina,MOTOR DIESEL,Térmica,DI,,Gba - Litoral - Buenos Aires,2210.445,2020-05-05 11:06:29.851206,67,2017-01
481636,2017,01,ARROHI,ARROHI,HCHOCONG,HIDROELECTRICA EL CHOCON SA,COMAHUE,Argentina,TURB HIDRAULICA,Hidráulica,HID,Arroyito,Comahue,39357.695,2020-05-05 11:06:29.851206,67,2017-01
481637,2017,01,ARROHINU,ARROHI,HCHOCONG,HIDROELECTRICA EL CHOCON SA,COMAHUE,Argentina,TURB HIDRAULICA,Hidráulica,HID,Arroyito,Comahue,2962.398,2020-05-05 11:06:29.851206,67,2017-01
481638,2017,01,ATU2NUCL,ATU2,NUCLEOEG,NUCLEOELECTRICA ARG. SA,BUENOS AIRES,Argentina,NUCLEAR,Nuclear,NUC,,Gba - Litoral - Buenos Aires,434572.551,2020-05-05 11:06:29.851206,67,2017-01
481639,2017,01,ATUCNUCL,ATUC,NUCLEOEG,NUCLEOELECTRICA ARG. SA,BUENOS AIRES,Argentina,NUCLEAR,Nuclear,NUC,,Gba - Litoral - Buenos Aires,202671.765,2020-05-05 11:06:29.851206,67,2017-01
481640,2017,01,AVALTG21,AVAL,CTALVALG,C.TERMICA ALTO VALLE,COMAHUE,Argentina,TURBO GAS,Térmica,TG,,Comahue,0,2020-05-05 11:06:29.851206,67,2017-01
481641,2017,01,AVALTG22,AVAL,CTALVALG,C.TERMICA ALTO VALLE,COMAHUE,Argentina,TURBO GAS,Térmica,CC,,Comahue,14742.983,2020-05-05 11:06:29.851206,67,2017-01
481642,2017,01,AVALTG23,AVAL,CTALVALG,C.TERMICA ALTO VALLE,COMAHUE,Argentina,TURBO GAS,Térmica,CC,,Comahue,13328.59,2020-05-05 11:06:29.851206,67,2017-01
481643,2017,01,AVALTV11,AVAL,CTALVALG,C.TERMICA ALTO VALLE,COMAHUE,Argentina,TURBO VAPOR,Térmica,TV,,Comahue,6812.595,2020-05-05 11:06:29.851206,67,2017-01
481644,2017,01,AVALTV12,AVAL,CTALVALG,C.TERMICA ALTO VALLE,COMAHUE,Argentina,TURBO VAPOR,Térmica,TV,,Comahue,7809.478,2020-05-05 11:06:29.851206,67,2017-01
481645,2017,01,BARIDI01,BARI,CTBARISG,CT BARILOCHE,COMAHUE,Argentina,MOTOR DIESEL,Térmica,DI,,Comahue,21.472,2020-05-05 11:06:29.851206,67,2017-01
